SNo,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
205,Solana,SOL,13-03-2021 23:59,1539439844,1392005572,1456380277,1530880274,1451027574,4.09E+11
206,Solana,SOL,14-03-2021 23:59,1534983211,1437876449,1530158118,1450826599,902328035,3.88E+11
207,Solana,SOL,15-03-2021 23:59,1479047269,1369805655,1447712718,1418666194,10260069155,3.79E+11
208,Solana,SOL,16-03-2021 23:59,1428289603,13229815,1416391157,1362277289,11230359008,3.64E+11
209,Solana,SOL,17-03-2021 23:59,1426679703,1313052874,13634964,1422020281,9469633879,3.80E+11
210,Solana,SOL,18-03-2021 23:59,1474547686,1382728428,1421067697,1423002516,7907426262,3.80E+11
211,Solana,SOL,19-03-2021 23:59,1448821877,1393245789,1423265017,1420479642,6871521103,3.80E+11
212,Solana,SOL,20-03-2021 23:59,1497821822,1415204483,1419582599,1421198148,6804968297,3.80E+11
213,Solana,SOL,21-03-2021 23:59,1436572264,1366825372,1421832785,1433220593,6422933803,3.83E+11
214,Solana,SOL,22-03-2021 23:59,1659987282,1420288587,1435027814,1491929305,26099513625,3.99E+11
215,Solana,SOL,23-03-2021 23:59,152437087,1409705679,1484861937,1420483076,10678066198,3.80E+11
216,Solana,SOL,24-03-2021 23:59,1537143084,1366129764,1419039605,1366129764,11881369026,36498712664
217,Solana,SOL,25-03-2021 23:59,1370525009,1261472537,1365058628,1302508469,11627794287,3.48E+11
218,Solana,SOL,26-03-2021 23:59,1480429436,1237045803,1301952768,1477942113,14998731922,3.95E+11
219,Solana,SOL,27-03-2021 23:59,1680416436,1475804617,1478624602,1650832188,22387258673,4.43E+11
220,Solana,SOL,28-03-2021 23:59,1938600611,1634500899,1647942327,1801623371,42612006211,4.83E+11
221,Solana,SOL,29-03-2021 23:59,1898784228,1770036375,1808330268,1885480803,21674860052,5.06E+11
222,Solana,SOL,30-03-2021 23:59,2086947517,1889140274,1889140274,192339251,26402842663,5.16E+11
223,Solana,SOL,31-03-2021 23:59,1979580246,1815625631,1910168383,1946522941,20601101773,5.22E+11
224,Solana,SOL,01-04-2021 23:59,203615394,1884424514,1941568124,1908490113,17373188557,5.12E+11
225,Solana,SOL,02-04-2021 23:59,1982457274,18568419,1908463141,1981022269,13106165984,5.31E+11
226,Solana,SOL,03-04-2021 23:59,23827189,1978944967,1979645158,2255227712,48305773957,6.05E+11
227,Solana,SOL,04-04-2021 23:59,2556953325,2221296864,2252737075,2406132316,42655798035,64552696141
228,Solana,SOL,05-04-2021 23:59,247776371,2280645173,2392883933,2298428282,26408532941,6.17E+11
229,Solana,SOL,06-04-2021 23:59,2534652466,2187661417,2297784134,2495714641,32088693482,6.70E+11
230,Solana,SOL,07-04-2021 23:59,2748761542,2308935918,2514556002,2647807994,67684622132,7.11E+11
231,Solana,SOL,08-04-2021 23:59,2797001131,2572493627,2651459375,2703398715,37798832749,7.26E+11
232,Solana,SOL,09-04-2021 23:59,2901473425,2690382587,2698580398,2777827443,28247793807,74561496195
233,Solana,SOL,10-04-2021 23:59,2825796994,2596322662,2764971179,2684140371,27023525775,7.25E+11
234,Solana,SOL,11-04-2021 23:59,2868722768,2557831877,2680805019,279318899,23293876218,75421396232
235,Solana,SOL,12-04-2021 23:59,2986230248,2684274156,2791836766,2851212449,3088045459,7.70E+11
236,Solana,SOL,13-04-2021 23:59,2879794156,2641760298,2854101244,2743555345,25818391226,7.41E+11
237,Solana,SOL,14-04-2021 23:59,2748269178,2479202053,274000051,2647511075,3425658053,71487792045
238,Solana,SOL,15-04-2021 23:59,2824940016,2553941458,2643684327,2781831384,22134673891,7.51E+11
239,Solana,SOL,16-04-2021 23:59,2822687963,2497291816,2782032255,2539736605,24066535149,6.86E+11
240,Solana,SOL,17-04-2021 23:59,2681976653,2509987446,2536920612,2509987446,20172037563,6.78E+11
241,Solana,SOL,18-04-2021 23:59,3290256908,215392092,2513550181,3230291905,1.16E+11,8.72E+11
242,Solana,SOL,19-04-2021 23:59,3608025911,2992590848,3233952237,3167589453,1.22E+11,8.55E+11
243,Solana,SOL,20-04-2021 23:59,3269721814,2893257221,314762886,3177005352,79300815445,8.58E+11
244,Solana,SOL,21-04-2021 23:59,3500430246,301674914,3168153748,325130438,72913014056,8.78E+11
245,Solana,SOL,22-04-2021 23:59,4097186247,3160069045,3268343072,3887975927,1.64E+11,1.05E+12
246,Solana,SOL,23-04-2021 23:59,4146325941,3166427002,3889918232,3697842065,1.61E+11,9.98E+11
247,Solana,SOL,24-04-2021 23:59,4353222132,3468329376,3725749642,4073731561,1.10E+11,1.10E+12
248,Solana,SOL,25-04-2021 23:59,4843426663,4051201668,4084547073,473676269,1.58E+11,1.28E+12
249,Solana,SOL,26-04-2021 23:59,4831078375,4337172735,4754185509,4397651543,1.36E+11,1.19E+12
250,Solana,SOL,27-04-2021 23:59,4654860972,4255732682,4389356993,432390029,90489199611,1.17E+12
251,Solana,SOL,28-04-2021 23:59,4691656515,4067207182,4316144021,4482598502,1.02E+11,1.21E+12
